state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
MAHARASHTRA,RAIGAD 10460,313327,804491,162689,105040,14749,9065,357167,3038277,54518,46817,1643946,23,284.50711,1878,27881,23849,281,89,15610,38918,983,7.91513,96,53.22356,574.72236,7500.34226,2286.2954,76.11703
PUNJAB,UPPER BHATINDA,76592,67087,59157,80240,89216,2,1496058,983337,891603,259,923007,26,259.72002,86,29386,58855,26,9,7760,8575,605,26.35697,33,56.5648,3343.71333,3442.70537,482.31459,0.0
MADHYA PRADESH,UJJAIN 10256,107513,512549,179962,330751,49503,174871,4887937,798161,317853,1225574,419004,29,229.14996,213,78378,108597,339,0,11495,28755,9607,35.84552,77,15.72435,5516.57134,1576.98917,742.36219,419.15395
TELANGANA,Mulugu 10133,368396,426495,107620,233879,55285,4334,1230109,1276342,400494,1880974,1851112,29,186.47661,42,68941,158282,1345,0,14697,28063,454,58.8533,40,19.43244,13039.87862,3509.57914,3609.96012,244.75211
RAJASTHAN,BHILWARA 10703,371091,1236021,453028,692729,146206,43705,3733411,14685183,411321,327762,1381485,35,221.51297,383,229302,116831,293,0,35562,6563,3082,46.51366,67,27.19235,11695.30555,16412.75101,1498.89093,51.14658
RAJASTHAN,TONK 10719,671488,699991,195075,1188178,184062,10989,4621867,2827605,776503,780703,1511000,49,236.84322,102,91869,271910,387,0,12063,76416,2048,28.21428,36,15.87082,2444.32723,19860.03838,659.31987,35.73538
NAGALAND,PEREN 10031,76443,65463,23359,52931,0,59090,810832,1140129,0,1202397,852768,34,225.03784,0,32137,22095,5,1,1008,590,36,24.60898,6,63.71633,4866.36351,3882.31894,679.60241,22.58499
RAJASTHAN,BHILWARA NAGAR,207085,286028,312211,215078,91761,66821,5122669,8819727,604389,846945,1280478,37,205.59501,1181,31396,34516,549,0,17810,33562,5656,54.58664,28,35.90554,10996.95728,3894.7486,129.92255,315.88959
KERALA,MALAPPURAM NAGAR,390120,239710,193327,167937,51776,8547,2350496,2657659,364020,18399,3479852,28,344.66306,93,55998,128531,94,0,20844,22516,4576,37.02546,62,40.49126,16178.06918,15618.40451,891.30071,61.147
RAJASTHAN,NORTH SIKAR,328929,588098,238649,349127,209161,11902,4554389,9190985,1705215,13315,1148316,45,180.41106,875,122168,563068,140,0,17330,9551,36960,11.39626,69,11.56191,29892.37761,4394.56221,469.141,71.66439
ODISHA,NUAPADA 10230,229041,473496,199784,702683,61063,307166,1495072,4783983,578376,7589,2768089,36,218.04793,10605,133990,263151,178,0,18201,54856,635,48.83511,52,44.00399,13458.45401,4448.69624,385.32358,117.12377
MADHYA PRADESH,PANNA 11207,102125,460607,154003,67939,54804,28498,3071093,3822521,278136,326091,767131,33,218.64347,261,20177,39893,419,0,22320,16590,10002,34.85605,69,21.52298,1240.80703,6010.37161,8710.16224,291.50635
ASSAM,NEW KARIMGANJ,361769,490407,145419,190220,18146,3327,423225,1679449,3593,513295,273379,26,245.46619,3,41028,59794,52,0,24008,20869,2976,12.06747,85,15.74246,2153.15565,3557.42768,48.75962,0.0
TAMIL NADU,COIMBATORE 10784,241004,257384,96759,65147,94720,259,7785830,3703981,1475170,3007,7219964,35,280.89869,121,254530,200550,656,0,9035,3245,16143,69.02309,92,11.52819,38512.72134,13503.39061,1824.92203,176.22334
ASSAM,EAST HOJAI,162808,268537,200806,351013,17676,13616,2085863,1668111,62958,105629,1418138,25,267.83042,99,34888,41384,29,0,19600,30528,7342,1.54941,90,7.09336,6736.31317,2701.79248,3.67451,0.0
PUNJAB,LUDHIANA 10541,93878,175544,14105,74091,82530,2,657379,1588013,770273,343,436675,30,295.68536,61,24026,64520,30,1,5327,5879,1409,23.71512,24,54.82672,2937.93233,2820.88474,512.71733,0.0
TELANGANA,Jayashanker Bhopalapally 10267,91241,279093,123448,132578,50035,48609,2029717,2202146,436568,381040,488888,37,216.43783,127,49513,83034,821,3,13380,12866,1149,53.95746,26,29.98931,6240.03891,3035.97909,6233.49182,353.4064
MADHYA PRADESH,SATNA 11059,49371,406494,103699,282495,19198,54800,1233325,1382816,76402,297871,1646770,32,200.7265,98,103174,113082,288,0,22326,13732,4767,38.81646,59,16.48849,6459.74077,4955.99626,440.59204,302.76172
JHARKHAND,OLD RAMGARH,346346,195952,151882,305099,12381,50699,6796044,2759220,689783,553224,981545,47,262.05809,771,92261,157556,167,0,40470,14494,11607,3.85696,94,72.58658,10006.32398,5031.33993,2142.792,139.72288
BIHAR,BANKA 10325,516927,236396,418757,204418,80495,3206,3348388,971675,277342,147712,2245957,37,211.93565,107,110941,136423,255,8,42530,28836,5920,26.07826,71,62.95725,11152.63041,5129.02071,2533.82076,92.88579
UTTARAKHAND,PITHORAGARH 10105,156008,187187,87162,109814,16765,379,554680,376604,232246,225,458483,24,232.73569,20,42289,43054,64,15,16828,8426,4374,16.10473,34,62.10559,1841.6219,2528.23572,2421.2209,63.55724
TRIPURA,CENTRAL Sepahijala,95022,137088,82796,149944,25603,61491,2072666,2737861,341819,467734,1177691,41,209.08276,275,85468,87386,670,0,15896,16923,7939,2.9389,74,56.15565,4398.409,5287.27346,1429.60814,283.58373
PUNJAB,Fazilka ABAD,78739,94518,66769,42682,46140,9,930836,585912,296743,4,504705,28,275.62755,3,50439,19124,54,234,1180,7701,1491,6.94053,38,73.3468,2326.67274,2462.21451,702.03085,0.0
BIHAR,SARAN 10366,850578,565094,242038,443206,189283,2097,3690304,3719776,289202,43790,1201065,35,266.84392,500,62705,73159,58,4,27939,29542,10182,14.84535,62,36.26184,24091.64511,6308.58731,3957.83371,80.24347
JHARKHAND,LATEHAR 10360,185795,368439,189810,197364,18149,129801,3415626,1577318,45162,979998,2681984,35,245.52433,542,48599,86301,205,4,39416,17591,13724,4.23411,95,88.04353,9729.74273,5000.90849,1130.04775,53.38207
ARUNACHAL PRADESH,SHI YOMI 10469,15842,15069,7009,30668,0,23858,782643,74511,87,221036,2363,31,31.64135,0,4937,566,6,2,274,98,1,0.0,60,3.10293,2511.73705,46.67711,280.94486,17.46236
UTTARAKHAND,NAINITAL 10295,52937,170710,70199,76000,15790,379,879708,273265,87117,160,362096,26,304.71026,12,41503,15285,103,5,14399,14428,736,18.66051,38,58.0339,2061.41547,2732.98293,712.72927,35.15476
MAHARASHTRA,RURAL SANGLI,296857,228137,25683,238727,32445,5089,545399,1657836,25634,227235,245551,25,267.37765,272,25101,21516,74,28,25310,22923,476,0.07053,74,55.84963,5728.4215,6249.01744,1622.8963,241.23704
PUNJAB,KAPURTHALA 10040,97057,247918,61674,121010,60869,15,332523,368040,220672,97,312378,26,288.77163,3,45037,35780,44,29,4354,4135,1827,3.39746,25,22.5102,2757.15707,3889.61147,1057.81678,0.0
GUJARAT,Morbi 10280,114053,438266,34697,175129,1198,202,338558,1419003,21706,29698,49639,39,245.31136,31,13447,20598,34,1,1729,2979,2853,53.62399,89,43.21108,1055.671,516.85933,10742.82234,78.81378
MADHYA PRADESH,LOWER HARDA,131453,579429,124064,611660,31283,5613,8805109,946978,619794,61870,673029,29,202.77446,338,13392,17620,262,0,45768,13469,7558,70.11837,90,24.85511,7141.38143,1839.26904,916.4453,329.27304
TAMIL NADU,VILLUPURAM 10776,218520,229948,200472,292288,240145,361,5533177,6139784,2594776,59732,7617698,34,241.86072,122,181354,327465,694,0,7953,8212,8734,83.81149,38,4.78422,20387.6339,9665.89392,5956.7927,209.28008
HARYANA,RURAL GURUGRAM,39967,7794,12231,75786,49203,0,609376,14698,138066,0,9913,27,359.39987,7,2647,21619,9,45,820,588,16,9.13625,4,45.16749,1265.75688,162.18234,600.45771,38.45888
ANDHRA PRADESH,GUNTUR 10415,278821,671908,263995,818693,95960,24763,9435128,1117855,2616093,379051,6043317,52,228.32287,13905,197296,291134,882,14,50821,37540,4542,32.58227,73,15.10374,31947.71917,22763.47568,653.08183,629.98936
MADHYA PRADESH,MANDLA 11098,163799,399031,102240,120636,48862,88094,3150432,1932550,294310,38262,246675,33,196.4742,492,54526,83075,135,1,25592,8960,4141,43.16775,63,31.88401,8380.88111,7482.58604,5119.28526,248.00943
RAJASTHAN,JHUNJHUNU 10196,230618,835552,386318,592027,116257,48542,2939930,2529132,1517201,47014,1613176,30,183.12849,140,156625,324759,176,3,6873,15828,6388,45.50761,68,18.42064,18293.78717,10020.93911,161.4855,51.55851
ASSAM,NEW BONGAIGAON,86097,120988,118608,184758,19081,1170,1011639,2841873,26351,1016645,874676,31,259.2585,66,57422,63552,9,0,26427,30316,5643,11.6905,87,15.14252,2603.08959,4270.08893,53.70919,0.0
UTTAR PRADESH,JHANSI,395755,356567,103465,179038,93275,5331,2690852,1867822,455800,5300,3668402,33,217.86669,1253,163593,101834,39,45,31538,38325,12205,28.17341,27,35.35034,7352.77672,4448.18175,2365.22644,245.35153
UTTAR PRADESH,SAHARANPUR 10256,85766,73878,292648,406881,78100,103219,3058926,1475373,266539,12962,612010,29,236.68159,273,68849,72593,105,3,21298,69978,2139,24.99109,31,55.74324,10768.21592,2833.96238,5067.61991,45.78483
ASSAM,GOALPARA 10847,233175,356181,92792,293568,13607,65634,2214597,418687,3962,893175,919867,26,237.94495,11,40408,42413,95,0,54830,19953,3709,3.28095,89,4.55112,5346.26424,4599.27324,502.54862,0.0
TAMIL NADU,LOWER RAMANATHAPURAM,315680,270702,137435,206520,70805,35709,4673597,4496598,3321627,10479,10572999,31,227.05258,2046,284094,270314,2730,0,14135,5182,11571,72.6048,36,15.43884,19940.47416,11316.21127,2219.64759,105.39864
KARNATAKA,UTTARA KANNADA 10376,224417,406217,147663,955581,56186,331,5670080,5002218,5432,260399,4696793,50,292.8759,2544,99066,68758,345,0,128643,52828,7920,55.78005,66,49.63964,2940.59955,8937.58125,81.26526,131.92459
ARUNACHAL PRADESH,KURUNG KUMEY 10044,6707,31163,3018,27880,4,11566,416995,805573,0,40167,344846,22,207.7619,0,2309,2723,15,26,300,110,0,6.15617,17,26.29622,317.55752,42.59694,432.64743,2.3355
GUJARAT,NARMADA PURA,144296,525186,101023,151000,8064,2353,1934999,1904022,190844,156059,146427,37,239.34272,79,40756,11716,73,0,1597,4560,343,56.89473,71,26.21426,1025.58582,392.91109,1846.56881,78.72222
UTTAR PRADESH,AZAMGARH 10919,103899,340657,111798,146228,44087,5,3890602,2312681,395570,5766,1811807,37,214.06554,142,76851,62446,167,14,30339,21364,177,0.0,11,68.64034,4031.62704,2603.97597,4116.32944,180.40852
HIMACHAL PRADESH,UPPER KANGRA,90736,200754,5274,90424,41832,608,606725,855525,132297,72262,916913,24,288.31711,66,34454,17876,8,1,15805,4985,744,9.81086,56,51.37029,3254.32964,879.42709,4598.77866,269.3529
CHHATTISGARH,KAWARDHA 10437,138936,298691,142324,249315,18102,91828,7704129,955036,517042,1744548,1591233,34,250.32333,208,116798,13449,69,0,13132,9029,3079,47.52232,68,31.27507,7197.63931,5501.27514,1552.46553,266.76846
MADHYA PRADESH,DAMOH 10523,163450,426349,196918,79122,28226,40588,3411328,1713551,69473,31093,333914,33,220.76502,682,71106,148248,110,1,23662,15999,2302,40.29132,69,23.72712,3735.50882,4587.80191,401.81626,250.17055
HIMACHAL PRADESH,HAMIRPUR 10106,7240,168557,120865,85267,27191,10066,4195442,457512,229695,13073,305202,27,225.64755,37,2047,16153,9,2,34827,22840,8376,22.13797,31,43.46128,4290.419,916.58215,1411.30262,165.79429
GUJARAT,BANAS KANTHA 10432,199260,304593,18674,43842,10673,51240,4354459,743066,24997,293,184666,34,202.5025,29,151157,69015,485,27,2362,3103,591,12.15674,71,41.34768,1021.24065,402.46541,1232.82881,195.35407
CHHATTISGARH,GARIYABAND NAGAR,119844,153794,139084,285405,12407,78804,1315423,334413,80320,262373,673924,25,214.56596,273,55373,15923,857,0,10874,10136,7777,46.24909,66,68.18665,6507.85738,2706.66343,1383.16421,87.55534
CHHATTISGARH,DANTEWADA 10339,134852,237256,118260,71910,3781,152227,2046972,4494245,149327,571173,361411,42,236.50049,278,59376,225417,1484,1,12483,5333,2095,47.27092,60,33.36331,1604.18079,4296.85311,1091.66084,267.59861
UTTAR PRADESH,BULANDSHAHR 10952,397131,323230,128711,348146,136531,729,5726197,1351254,832985,5281,913937,25,238.91809,44,74662,131172,28,4,33830,18514,2644,20.53467,61,70.54986,10024.29204,6363.4909,1128.42373,68.37333
NAGALAND,MOKOKCHUNG 10163,34654,57850,36786,93731,0,39992,1337119,1419542,0,711721,270214,39,235.09872,0,57424,22307,116,1,890,819,60,18.19871,2,50.13422,4304.69378,5760.18836,650.32606,40.8767
LAKSHADWEEP,LAKSHADWEEP DISTRICT 10001,9277,16573,220,523,0,498,9253,1888,0,1682,492,35,259.50986,0,53,51,0,4,165,159,5,92.57527,0,9.25088,6.18488,4.65207,1.68539,0.0
ARUNACHAL PRADESH,NEW CHANGLANG,10761,33774,8504,16601,0,38424,401698,2701,430,58707,1030,35,449.50481,0,2063,14082,5,4,536,114,24,2.29418,60,52.88892,2057.62604,13.17831,196.02817,3.57125
GUJARAT,PANCH MAHALS 10188,168565,301443,32083,38918,5287,62412,4263016,1362842,45332,5487,594304,30,224.81044,115,5901,21600,652,4,1470,44199,11887,61.56478,73,21.37543,1403.57555,438.02747,224.82729,100.42291
ODISHA,BALESHWAR,160010,311417,94971,208518,48049,129649,2672513,5374453,311369,110088,1035753,28,247.962,861,42943,259723,351,0,8836,15442,1820,28.79242,61,31.99033,12011.4185,7252.23671,341.92554,233.50583
TAMIL NADU,VILLUPURAM 10623,310556,376577,162918,130198,43132,25314,2201015,691282,2705607,726,3399764,45,228.52652,260,206133,99528,11591,0,10635,7559,1866,73.4431,73,78.12927,27646.98249,1885.01669,1285.05549,287.53759
GUJARAT,URBAN AHMADABAD,47260,82270,32369,155839,7503,7440,1036003,368821,72118,200543,127912,42,226.3788,57,12246,6545,76,16,13876,3853,285,45.33637,59,19.2713,3596.00518,1208.40908,2841.81604,340.99841
ASSAM,NAGAON 10602,156852,383466,145740,34905,1540,12667,2625362,203386,124883,23641,485401,28,287.11419,3,5539,9286,52,0,23135,20714,6918,4.73299,98,8.791,1658.97209,4532.51875,140.82789,0.0
BIHAR,SUPAUL 10626,303213,389666,120069,108633,24531,285,5651488,3900462,575096,149709,867012,34,222.9156,157,65884,156311,63,6,34846,19354,5937,7.49753,64,71.22328,22486.17397,3106.61591,2700.44649,84.61218
HARYANA,SIRSA 10064,78829,158906,62711,18034,13171,0,756723,255025,35464,0,46188,16,386.89673,0,19585,22099,1,115,1441,2779,65,21.03271,1,76.2235,260.12414,948.40153,32.59147,3.80308
ODISHA,KENDUJHAR,218187,332405,139595,180541,72694,33193,10420256,4628557,216293,822167,435407,49,178.7231,4292,22399,68726,104,0,10799,33509,1494,12.75216,53,58.85533,3894.75978,13010.72766,327.85317,101.19955
BIHAR,BHOJPUR 10082,343186,642990,92661,367223,51138,13562,5488082,4252043,1052364,96960,2194353,29,232.15785,574,214653,50057,164,2,34757,5509,10282,9.03936,45,45.65831,7467.8462,2166.7151,1478.26219,71.20923
UTTAR PRADESH,WEST SONBHADRA,153021,318466,212469,148564,123137,306,2236721,338756,523592,800,546773,30,214.87117,52,167830,40483,108,0,20279,30763,2232,63.26394,29,30.08572,11255.16379,9590.29244,1928.93137,78.60724
MAHARASHTRA,AURANGABAD 10001,239146,551755,204964,534682,10152,1506,1757831,222390,141273,58830,168693,31,275.96793,1555,26561,66020,77,12,49038,14817,3119,9.28532,92,37.53683,1584.42803,6339.18145,675.65782,48.46024
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN 10046,19866,9172,1033,1889,0,0,30742,4371,0,0,1682,23,1759.21733,0,511,188,1,0,488,172,0,95.16595,41,16.59066,5.62769,81.14815,5.64637,2.96072
ARUNACHAL PRADESH,NORTH KAMLE,8631,28511,5164,28152,1,27935,1161519,240919,0,233378,93900,41,373.36969,0,4639,16540,0,32,804,271,1,15.72536,0,39.73246,293.74998,538.19439,56.2972,4.47662
WEST BENGAL,BANKURA PUR,717487,1357253,359560,123785,162995,19728,0,0,836,174,16,24,218.77447,0,0,0,0,59,98376,26739,21,0.0,84,0.4458,0.0,0.0,0.0,0.0
MANIPUR,BISHNUPUR 10067,119614,96755,57212,17051,347,25436,655228,10499,20,41833,20074,10,1534.56382,0,3645,787,11,1,601,1757,27,84.56722,0,23.81293,2089.23782,3.73752,165.92821,17.10035
ODISHA,BALESHWAR PADA,214485,521376,184298,172259,51380,1617,7763631,2223624,198742,287892,1238251,44,255.50623,278,64598,304543,70,0,19999,35117,1908,23.29085,70,40.32104,4156.52293,7146.01561,478.78737,71.17963
JAMMU AND KASHMIR,RAJAURI 10251,94194,246543,38383,64435,6111,52062,556292,144307,302,22660,94945,22,259.27261,5,6376,21564,2,0,6526,403,887,11.48675,21,73.21871,665.74388,1001.21515,2636.1808,10.2477
MADHYA PRADESH,EAST MORENA,252307,515111,94065,233356,26474,158982,3853029,1469809,275311,1630406,338968,33,238.1406,23,72329,105667,98,1,6643,7075,9848,35.69457,73,16.37739,7076.50507,8263.69792,3930.60595,330.26586
ASSAM,SOUTH SALMARA-MANKACHAR 10127,243757,266284,53068,59130,1494,44391,1784267,1108649,14135,126752,892815,33,268.46427,15,53876,104980,5,0,19705,27315,6418,2.57424,78,28.17906,3206.46094,2975.36099,86.41729,0.0
MAHARASHTRA,JALNA 10426,260839,1273979,202801,278196,14330,30817,1841512,469976,74305,457,439032,20,287.48152,1284,56812,15877,25,67,27495,28302,4019,1.47695,100,25.29395,8803.79942,10770.27611,2823.84223,22.73786
WEST BENGAL,BIRBHUM 10204,678263,2283964,530090,905668,14081,50037,0,0,0,0,472,0,0.0,0,2,0,0,139,10678,2522,10,0.0,54,0.0,0.0,108.95735,0.0,267.51558
GUJARAT,AHMADABAD 10399,215785,236793,62495,154249,5090,623,402091,96604,10764,4247,269710,39,223.61733,52,32348,24412,542,18,15235,14951,2958,52.9697,86,8.16925,519.5837,1132.32277,635.86463,82.67028
ANDHRA PRADESH,WEST NANDYAL,219228,375602,255870,481995,117774,38914,11628032,5442091,1344309,279244,2010056,41,226.97717,1148,176254,510570,1835,25,61173,35143,13232,74.81266,35,29.72598,10333.60303,26156.01716,3225.21807,280.22545
UTTAR PRADESH,AURAIYA PUR,240025,164674,286250,462295,117048,827,1308902,439831,168280,1486,382670,34,246.07754,142,5779,70601,87,26,41497,27199,6368,13.06663,73,30.65557,2319.35964,4925.80048,8241.69576,100.74361
UTTAR PRADESH,SHAHJAHANPUR 10449,45775,415700,6166,423979,59476,363,2298189,1290684,6630,27635,165476,36,253.83844,38,112943,7662,237,6,46473,24025,2792,50.45893,63,22.52177,8326.80104,979.3767,3370.99399,184.48262
TELANGANA,Karimnagar 10386,373969,491626,128874,265246,36472,35880,2880968,1950367,402219,1002836,852413,35,159.56282,654,29479,49108,914,0,18106,8355,1358,32.48072,31,59.46535,5513.12409,7457.96716,6337.40141,312.70095
ARUNACHAL PRADESH,NORTH LOWER SUBANSIRI,7864,8587,7615,16776,2,22253,403829,9383,0,33845,131869,33,875.09541,0,906,13616,0,4,414,395,201,0.0,0,0.0,410.3911,40.58001,115.47711,17.93519
ASSAM,HOJAI 10035,402485,101953,95714,88664,13850,11760,1020279,1856565,56428,159215,674186,34,249.94432,41,54475,58117,56,1,34720,24759,24389,0.48864,87,15.5805,2922.17337,4201.61088,872.23925,0.0
MIZORAM,CHAMPHAI,7549,25651,10109,36363,6,36192,1056140,246405,0,546392,98801,34,327.78423,0,24109,20373,2,0,638,712,303,15.29057,44,87.62098,5294.78744,772.25432,190.66441,105.56311
ASSAM,LAKHIMPUR CHAR,219869,427740,99011,183489,10073,691,2535738,1148306,3812,4009,1383594,28,248.21827,180,28381,88258,92,0,60282,31242,3475,7.72505,99,15.51842,5111.8082,509.95699,153.60539,0.0
MADHYA PRADESH,BHIND,221154,118570,88590,386596,23830,10501,4236835,665483,308405,85552,565401,33,231.65763,50,147625,160863,173,4,15994,17103,7600,40.06687,75,20.87524,4019.37062,3423.00742,2815.00457,275.44403
JAMMU AND KASHMIR,DODA NAGAR,115979,203170,57926,167120,12204,1282,54272,171139,13406,9762,187261,30,305.21856,3,22925,7219,207,43,10359,16366,2198,21.11809,37,16.98652,657.22657,13.56897,239.63639,68.46475
LAKSHADWEEP,LAKSHADWEEP DISTRICT ATOLL,8254,15365,197,498,0,519,10408,1649,0,1667,485,32,279.73551,0,59,59,0,4,162,149,5,85.22359,0,8.21888,5.92818,5.02262,1.44313,0.0
GUJARAT,KHEDA NAGAR,39307,258942,21000,104857,6035,837,361632,1114046,66749,16,141546,29,225.82509,44,3787,17139,6,0,13710,1474,1058,24.30345,92,5.1058,473.96342,3542.28892,1270.28612,70.06639
MANIPUR,IMPHAL WEST 10376,15738,91588,9004,59720,1,239,2433314,44785,4037,212,85963,7,414.53735,0,666,5649,40,340,1141,3928,0,40.65331,0,43.21654,312.58776,1363.84438,17.83565,15.86667
ANDHRA PRADESH,NEW KRISHNA,386316,585681,245389,632793,75612,7962,10813033,7465802,1158344,96382,3302931,39,217.68194,13911,207134,190195,2459,3,35590,5401,9874,25.41674,63,11.99116,39288.09128,9181.72093,5464.02567,265.65254
RAJASTHAN,RURAL JAISALMER,576890,317823,193969,700218,89214,328538,11395116,2864919,1419089,240859,1122091,34,227.46759,269,197139,223759,247,0,27728,6387,1691,41.73707,55,50.96445,4329.64125,16863.90259,88.02407,42.96137
CHHATTISGARH,MUNGELI 10706,182760,261841,146713,244629,915,68207,3299382,1536765,78376,232653,859087,31,181.83895,576,62760,109558,1190,0,14602,9941,1786,42.02633,69,32.54349,4835.7552,5008.12004,2322.9777,148.03327
UTTAR PRADESH,LOWER HAPUR,491682,177355,186929,255208,103599,998,8642,7116364,430680,7568,1418418,36,248.39739,184,74536,50933,19,5,29393,21247,708,25.07853,49,20.91054,10757.89916,5347.84832,1409.43114,122.9536
MAHARASHTRA,WASHIM 10394,460561,1148088,167222,106887,43098,8663,2901315,554678,87828,1937,249143,29,286.1969,49,107833,44204,89,7,44498,14288,10928,29.2895,98,66.11476,8605.06556,1022.82554,79.41368,64.77235
UTTAR PRADESH,VARANASI 10893,399584,248872,124266,173763,51986,404,110,4289588,536601,1077,2407744,49,249.56662,1016,56608,83188,143,0,38673,44730,5098,21.23127,39,37.04941,12630.43065,7526.80025,4559.95205,119.68765
ASSAM,Biswanath GAON,235708,189206,44599,342901,3381,37818,1734928,1830918,91534,459641,1100438,34,224.93243,24,18431,21580,8,0,34967,25687,3758,6.97114,93,14.41982,1027.45373,3423.17584,2.0671,0.0
UTTAR PRADESH,JHANSI ABAD,83967,260419,308721,372736,86371,178,2393421,792338,454217,3318,336635,39,215.6352,112,32362,74057,30,8,15971,29670,1289,38.41828,61,25.51488,3636.3485,12879.99291,419.79591,75.46419
KARNATAKA,NEW BAGALKOTE,238211,127567,119859,310081,107546,77021,3933275,1946539,18693,24500,4570720,30,279.45142,96,86814,37954,3,0,28965,29845,4803,15.00137,62,46.86992,2306.04673,3357.43224,0.0,13.37481
ANDHRA PRADESH,WEST EAST GODAVARI,442178,63571,216705,547214,122520,132955,6773198,6715999,3824196,24074,3819342,37,218.78345,7749,85677,287364,3244,8,50964,58899,1000,31.75809,31,34.20363,21198.75099,7410.27267,4969.11359,454.5467
MAHARASHTRA,URBAN BULDHANA,612431,790556,90178,214024,14292,1216,2555935,208633,104925,3612,961341,25,318.24559,1481,26971,65301,528,21,22249,22118,7555,0.76024,94,27.10626,869.04522,7455.62056,863.34644,0.0
MEGHALAYA,SOUTH WEST GARO HILLS 10100,51526,138953,57177,86804,1359,85890,1554787,691012,0,256569,589014,20,264.25126,185,31296,48852,86,42,4927,5072,86,6.65825,38,21.36143,5329.28815,1235.4031,6112.88626,165.44316
ODISHA,WEST DHENKANAL,122043,430868,161827,107276,109319,14257,2028290,1492937,106111,540204,1534262,33,264.56825,803,113480,94095,139,0,26899,67027,1412,20.43932,35,57.75252,13717.1215,3385.92277,652.18576,265.44339
